date,equipment_id,etape,heures_operees,heures_cumulees,heures_depuis_maintenance,ratio_usure,panne,panne_sous_7j
2024-01-02,PEL-05,chargement,19.43,1869.2,232.4,0.775,0,0
2024-01-02,CAM-01,transport,20.33,1281.5,257.9,0.645,0,1
2024-01-02,CAM-02,transport,0.0,398.6,0.0,0.0,1,0
2024-01-02,CAM-03,transport,20.29,816.8,312.3,0.781,0,1
2024-01-02,CAM-04,transport,19.7,1430.3,158.7,0.397,0,0
2024-01-02,CAM-05,transport,16.72,1878.1,219.8,0.55,0,1
2024-01-02,CAM-06,transport,16.88,1068.3,346.7,0.867,0,1
2024-01-02,CAM-07,transport,16.99,2190.3,130.7,0.327,0,0
2024-01-02,CAM-08,transport,19.16,1845.0,246.7,0.617,0,0
2024-01-02,CAM-09,transport,14.63,2686.1,327.5,0.819,0,0
2024-01-02,CAM-10,transport,0.0,1025.9,0.0,0.0,0,0
2024-01-02,CAM-11,transport,18.73,566.9,203.5,0.509,0,0
2024-01-02,CAM-12,transport,18.85,2357.2,98.0,0.245,0,0
2024-01-02,GEN-01,energie,20.96,1614.1,64.6,0.129,0,0
2024-01-02,GEN-02,energie,20.89,2115.9,427.2,0.854,0,1
2024-01-02,GEN-03,energie,21.8,1848.3,481.6,0.963,0,1
2024-01-03,FOR-01,forage,9.82,2564.0,79.8,0.319,0,0
2024-01-03,FOR-02,forage,16.54,872.5,204.3,0.817,0,0
2024-01-03,FOR-03,forage,17.8,2910.8,201.5,0.806,0,0
2024-01-03,FOR-04,forage,20.86,1360.6,293.9,1.176,0,0
2024-01-03,PEL-01,chargement,18.49,390.1,317.2,1.057,0,0
2024-01-03,PEL-02,chargement,15.36,1061.1,93.5,0.312,0,0
2024-01-03,PEL-03,chargement,23.84,590.0,152.7,0.509,0,0
2024-01-03,PEL-04,chargement,17.44,2535.6,104.7,0.349,0,0
2024-01-03,PEL-05,chargement,17.86,1887.1,250.3,0.834,0,0
2024-01-03,CAM-01,transport,15.85,1297.4,273.8,0.684,0,1
2024-01-03,CAM-02,transport,18.7,417.3,18.7,0.047,0,0
2024-01-03,CAM-03,transport,18.13,835.0,330.4,0.826,0,1
2024-01-03,CAM-04,transport,15.35,1445.6,174.0,0.435,0,0
2024-01-03,CAM-05,transport,10.97,1889.1,230.8,0.577,0,1
2024-01-03,CAM-06,transport,24.0,1092.3,370.7,0.927,0,1
2024-01-03,CAM-07,transport,17.44,2207.7,148.2,0.37,0,0
2024-01-03,CAM-08,transport,18.29,1863.3,265.0,0.662,0,0
2024-01-03,CAM-09,transport,19.96,2706.0,347.4,0.869,0,1
2024-01-03,CAM-10,transport,22.66,1048.5,22.7,0.057,0,0
2024-01-03,CAM-11,transport,14.63,581.5,218.2,0.545,0,0
2024-01-03,CAM-12,transport,18.39,2375.6,116.4,0.291,0,0
2024-01-03,GEN-01,energie,21.2,1635.3,85.8,0.172,0,0
2024-01-03,GEN-02,energie,22.67,2138.6,449.8,0.9,0,1
2024-01-03,GEN-03,energie,18.74,1867.1,500.3,1.001,0,1
2024-01-04,FOR-01,forage,18.66,2582.7,98.5,0.394,0,0
2024-01-04,FOR-02,forage,15.38,887.9,219.7,0.879,0,0
2024-01-04,FOR-03,forage,15.59,2926.4,217.1,0.868,0,0
2024-01-04,FOR-04,forage,19.85,1380.4,313.8,1.255,0,0
2024-01-04,PEL-01,chargement,0.0,390.1,0.0,0.0,0,0
2024-01-04,PEL-02,chargement,22.49,1083.6,116.0,0.387,0,0
2024-01-04,PEL-03,chargement,14.94,605.0,167.7,0.559,0,0
2024-01-04,PEL-04,chargement,22.36,2557.9,127.0,0.423,0,0
2024-01-04,PEL-05,chargement,17.46,1904.5,267.7,0.892,0,0
2024-01-04,CAM-01,transport,18.35,1315.7,292.1,0.73,0,1
2024-01-04,CAM-02,transport,18.37,435.7,37.1,0.093,0,0
2024-01-04,CAM-03,transport,11.11,846.1,341.5,0.854,0,1
2024-01-04,CAM-04,transport,16.84,1462.4,190.8,0.477,0,0
2024-01-04,CAM-05,transport,18.95,1908.1,249.8,0.624,0,1
2024-01-04,CAM-06,transport,16.17,1108.5,386.9,0.967,0,1
2024-01-04,CAM-07,transport,18.24,2225.9,166.4,0.416,0,0
2024-01-04,CAM-08,transport,21.98,1885.3,287.0,0.717,0,0
2024-01-04,CAM-09,transport,22.47,2728.5,369.9,0.925,0,1
2024-01-04,CAM-10,transport,22.83,1071.4,45.5,0.114,0,0
2024-01-04,CAM-11,transport,12.37,593.9,230.5,0.576,0,0
2024-01-04,CAM-12,transport,14.75,2390.3,131.1,0.328,0,0
2024-01-04,GEN-01,energie,19.54,1654.8,105.3,0.211,0,0
2024-01-04,GEN-02,energie,21.97,2160.5,471.8,0.944,0,1
2024-01-04,GEN-03,energie,0.0,1867.1,0.0,0.0,1,0
2024-01-05,FOR-01,forage,18.11,2600.8,116.6,0.466,0,0
2024-01-05,FOR-02,forage,18.24,906.1,237.9,0.952,0,0
2024-01-05,FOR-03,forage,13.24,2939.6,230.3,0.921,0,0
2024-01-05,FOR-04,forage,18.8,1399.2,332.6,1.33,0,1
2024-01-05,PEL-01,chargement,13.06,403.2,13.1,0.044,0,0
2024-01-05,PEL-02,chargement,16.21,1099.8,132.2,0.441,0,0
2024-01-05,PEL-03,chargement,18.02,623.0,185.7,0.619,0,0
2024-01-05,PEL-04,chargement,20.42,2578.4,147.4,0.491,0,0
2024-01-05,PEL-05,chargement,13.31,1917.8,281.0,0.937,0,0
2024-01-05,CAM-01,transport,16.08,1331.8,308.2,0.77,0,1
2024-01-05,CAM-02,transport,15.29,451.0,52.4,0.131,0,0
2024-01-05,CAM-03,transport,15.69,861.8,357.2,0.893,0,1
2024-01-05,CAM-04,transport,14.46,1476.9,205.3,0.513,0,0
2024-01-05,CAM-05,transport,19.09,1927.2,268.9,0.672,0,1
2024-01-05,CAM-06,transport,16.08,1124.5,403.0,1.007,0,1
2024-01-05,CAM-07,transport,12.17,2238.1,178.6,0.446,0,0
2024-01-05,CAM-08,transport,11.31,1896.6,298.3,0.746,0,0
2024-01-05,CAM-09,transport,15.37,2743.9,385.3,0.963,0,1
2024-01-05,CAM-10,transport,20.34,1091.7,65.8,0.165,0,0
2024-01-05,CAM-11,transport,20.24,614.1,250.8,0.627,0,0
2024-01-05,CAM-12,transport,22.0,2412.3,153.1,0.383,0,1
2024-01-05,GEN-01,energie,23.32,1678.1,128.6,0.257,0,0
2024-01-05,GEN-02,energie,23.79,2184.3,495.6,0.991,0,1
2024-01-05,GEN-03,energie,24.0,1891.1,24.0,0.048,0,0
2024-01-06,FOR-01,forage,23.82,2624.6,140.4,0.562,0,0
2024-01-06,FOR-02,forage,12.73,918.8,250.6,1.002,0,0
2024-01-06,FOR-03,forage,15.22,2954.9,245.5,0.982,0,0
2024-01-06,FOR-04,forage,20.07,1419.3,352.7,1.411,0,1
2024-01-06,PEL-01,chargement,14.72,417.9,27.8,0.093,0,0
2024-01-06,PEL-02,chargement,19.51,1119.4,151.7,0.506,0,0
2024-01-06,PEL-03,chargement,16.0,639.0,201.7,0.672,0,0
2024-01-06,PEL-04,chargement,22.36,2600.7,169.8,0.566,0,0
2024-01-06,PEL-05,chargement,17.47,1935.3,298.5,0.995,0,0
2024-01-06,CAM-01,transport,18.21,1350.0,326.4,0.816,0,1
2024-01-06,CAM-02,transport,16.91,467.9,69.3,0.173,0,0
2024-01-06,CAM-03,transport,17.92,879.7,375.2,0.938,0,1
2024-01-06,CAM-04,transport,19.39,1496.3,224.7,0.562,0,0
2024-01-06,CAM-05,transport,17.75,1944.9,286.6,0.717,0,1
2024-01-06,CAM-06,transport,0.0,1124.5,0.0,0.0,1,0
2024-01-06,CAM-07,transport,17.8,2255.9,196.4,0.491,0,0
2024-01-06,CAM-08,transport,19.57,1916.1,317.8,0.795,0,0
2024-01-06,CAM-09,transport,18.97,2762.9,404.3,1.011,0,1
2024-01-06,CAM-10,transport,15.89,1107.6,81.7,0.204,0,0
2024-01-06,CAM-11,transport,13.79,627.9,264.6,0.661,0,0
2024-01-06,CAM-12,transport,16.0,2428.3,169.1,0.423,0,1
2024-01-06,GEN-01,energie,21.2,1699.3,149.8,0.3,0,0
2024-01-06,GEN-02,energie,20.05,2204.4,515.7,1.031,0,1
2024-01-06,GEN-03,energie,19.61,1910.7,43.6,0.087,0,0
2024-01-07,FOR-01,forage,13.96,2638.6,154.4,0.617,0,0
2024-01-07,FOR-02,forage,0.0,918.8,0.0,0.0,0,0
2024-01-07,FOR-03,forage,15.38,2970.2,260.9,1.044,0,0
2024-01-07,FOR-04,forage,18.78,1438.1,371.4,1.486,0,1
2024-01-07,PEL-01,chargement,20.53,438.4,48.3,0.161,0,0
2024-01-07,PEL-02,chargement,20.66,1140.0,172.4,0.575,0,0
2024-01-07,PEL-03,chargement,18.51,657.5,220.2,0.734,0,0
2024-01-07,PEL-04,chargement,18.82,2619.5,188.6,0.629,0,0
2024-01-07,PEL-05,chargement,16.28,1951.6,314.8,1.049,0,0
2024-01-07,CAM-01,transport,22.77,1372.8,349.2,0.873,0,1
2024-01-07,CAM-02,transport,19.21,487.1,88.5,0.221,0,0
2024-01-07,CAM-03,transport,0.0,879.7,0.0,0.0,1,0
2024-01-07,CAM-04,transport,20.49,1516.8,245.2,0.613,0,0
2024-01-07,CAM-05,transport,0.0,1944.9,0.0,0.0,1,0
2024-01-07,CAM-06,transport,16.15,1140.7,16.2,0.04,0,0
2024-01-07,CAM-07,transport,17.39,2273.3,213.8,0.534,0,0
2024-01-07,CAM-08,transport,22.35,1938.5,340.2,0.85,0,0
2024-01-07,CAM-09,transport,21.43,2784.3,425.7,1.064,0,1
2024-01-07,CAM-10,transport,15.21,1122.8,96.9,0.242,0,0
2024-01-07,CAM-11,transport,20.22,648.1,284.8,0.712,0,0
2024-01-07,CAM-12,transport,14.88,2443.2,184.0,0.46,0,1
2024-01-07,GEN-01,energie,24.0,1723.3,173.8,0.348,0,0
2024-01-07,GEN-02,energie,21.62,2226.0,537.3,1.075,0,1
2024-01-07,GEN-03,energie,22.55,1933.2,66.2,0.132,0,0
2024-01-08,FOR-01,forage,17.87,2656.5,172.2,0.689,0,0
2024-01-08,FOR-02,forage,15.7,934.5,15.7,0.063,0,0
2024-01-08,FOR-03,forage,21.07,2991.3,282.0,1.128,0,0
2024-01-08,FOR-04,forage,14.75,1452.8,386.2,1.545,0,1
2024-01-08,PEL-01,chargement,16.3,454.7,64.6,0.215,0,0
2024-01-08,PEL-02,chargement,18.44,1158.5,190.8,0.636,0,1
2024-01-08,PEL-03,chargement,24.0,681.5,244.2,0.814,0,0
2024-01-08,PEL-04,chargement,16.09,2635.6,204.7,0.682,0,1
2024-01-08,PEL-05,chargement,16.97,1968.6,331.8,1.106,0,1
2024-01-08,CAM-01,transport,0.0,1372.8,0.0,0.0,1,0
2024-01-08,CAM-02,transport,20.62,507.7,109.1,0.273,0,0
2024-01-08,CAM-03,transport,15.99,895.7,16.0,0.04,0,0
2024-01-08,CAM-04,transport,17.97,1534.7,263.1,0.658,0,0
2024-01-08,CAM-05,transport,17.88,1962.8,17.9,0.045,0,0
2024-01-08,CAM-06,transport,19.3,1160.0,35.5,0.089,0,0
2024-01-08,CAM-07,transport,20.53,2293.8,234.3,0.586,0,1
2024-01-08,CAM-08,transport,18.36,1956.9,358.5,0.896,0,0
2024-01-08,CAM-09,transport,18.01,2802.3,443.7,1.109,0,1
2024-01-08,CAM-10,transport,13.61,1136.4,110.5,0.276,0,0
2024-01-08,CAM-11,transport,15.95,664.1,300.7,0.752,0,0
2024-01-08,CAM-12,transport,19.71,2462.9,203.7,0.509,0,1
2024-01-08,GEN-01,energie,21.54,1744.8,195.4,0.391,0,0
2024-01-08,GEN-02,energie,0.0,2226.0,0.0,0.0,1,0
2024-01-08,GEN-03,energie,19.17,1952.4,85.3,0.171,0,0
2024-01-09,FOR-01,forage,14.6,2671.1,186.8,0.747,0,0
2024-01-09,FOR-02,forage,14.5,949.0,30.2,0.121,0,0
2024-01-09,FOR-03,forage,12.31,3003.6,294.3,1.177,0,0
2024-01-09,FOR-04,forage,17.84,1470.7,404.0,1.616,0,1
2024-01-09,PEL-01,chargement,21.55,476.3,86.2,0.287,0,0
2024-01-09,PEL-02,chargement,15.16,1173.6,206.0,0.687,0,1
2024-01-09,PEL-03,chargement,19.57,701.1,263.8,0.879,0,0
2024-01-09,PEL-04,chargement,18.31,2653.9,223.0,0.743,0,1
2024-01-09,PEL-05,chargement,14.06,1982.6,345.8,1.153,0,1
2024-01-09,CAM-01,transport,16.48,1389.3,16.5,0.041,0,0
2024-01-09,CAM-02,transport,17.76,525.5,126.9,0.317,0,0
2024-01-09,CAM-03,transport,18.02,913.7,34.0,0.085,0,0
2024-01-09,CAM-04,transport,14.29,1549.0,277.4,0.694,0,0
2024-01-09,CAM-05,transport,17.93,1980.7,35.8,0.09,0,0
2024-01-09,CAM-06,transport,17.81,1177.8,53.3,0.133,0,0
2024-01-09,CAM-07,transport,15.72,2309.6,250.0,0.625,0,1
2024-01-09,CAM-08,transport,17.74,1974.6,376.3,0.941,0,0
2024-01-09,CAM-09,transport,15.98,2818.3,459.7,1.149,0,1
2024-01-09,CAM-10,transport,15.47,1151.9,126.0,0.315,0,0
2024-01-09,CAM-11,transport,20.3,684.4,321.0,0.803,0,0
2024-01-09,CAM-12,transport,14.81,2477.7,218.5,0.546,0,1
2024-01-09,GEN-01,energie,20.08,1764.9,215.4,0.431,0,0
2024-01-09,GEN-02,energie,21.92,2247.9,21.9,0.044,0,0
2024-01-09,GEN-03,energie,24.0,1976.4,109.3,0.219,0,0
2024-01-10,FOR-01,forage,19.06,2690.1,205.9,0.824,0,0
2024-01-10,FOR-02,forage,18.08,967.1,48.3,0.193,0,0
2024-01-10,FOR-03,forage,16.88,3020.5,311.2,1.245,0,0
2024-01-10,FOR-04,forage,15.78,1486.5,419.8,1.679,0,1
2024-01-10,PEL-01,chargement,22.67,499.0,108.8,0.363,0,0
2024-01-10,PEL-02,chargement,22.3,1195.9,228.3,0.761,0,1
2024-01-10,PEL-03,chargement,18.52,719.6,282.3,0.941,0,0
2024-01-10,PEL-04,chargement,17.78,2671.7,240.8,0.803,0,1
2024-01-10,PEL-05,chargement,15.75,1998.4,361.6,1.205,0,1
2024-01-10,CAM-01,transport,18.74,1408.0,35.2,0.088,0,0
2024-01-10,CAM-02,transport,18.97,544.4,145.8,0.365,0,0
2024-01-10,CAM-03,transport,21.84,935.5,55.8,0.14,0,0
2024-01-10,CAM-04,transport,19.53,1568.6,297.0,0.742,0,0
2024-01-10,CAM-05,transport,17.53,1998.2,53.3,0.133,0,0
2024-01-10,CAM-06,transport,21.54,1199.4,74.8,0.187,0,0
2024-01-10,CAM-07,transport,14.95,2324.5,265.0,0.662,0,1
2024-01-10,CAM-08,transport,17.33,1991.9,393.6,0.984,0,0
2024-01-10,CAM-09,transport,0.0,2818.3,0.0,0.0,1,0
2024-01-10,CAM-10,transport,18.06,1169.9,144.1,0.36,0,0
2024-01-10,CAM-11,transport,17.47,701.8,338.5,0.846,0,0
2024-01-10,CAM-12,transport,19.56,2497.3,238.1,0.595,0,1
2024-01-10,GEN-01,energie,22.06,1787.0,237.5,0.475,0,0
2024-01-10,GEN-02,energie,21.9,2269.8,43.8,0.088,0,0
2024-01-10,GEN-03,energie,24.0,2000.4,133.3,0.267,0,0
2024-01-11,FOR-01,forage,22.69,2712.8,228.6,0.914,0,0
2024-01-11,FOR-02,forage,17.28,984.4,65.6,0.262,0,0
2024-01-11,FOR-03,forage,20.8,3041.3,332.0,1.328,0,0
2024-01-11,FOR-04,forage,15.84,1502.3,435.6,1.743,0,1
2024-01-11,PEL-01,chargement,19.05,518.0,127.9,0.426,0,1
2024-01-11,PEL-02,chargement,19.25,1215.2,247.5,0.825,0,1
2024-01-11,PEL-03,chargement,15.88,735.5,298.2,0.994,0,0
2024-01-11,PEL-04,chargement,17.65,2689.4,258.4,0.861,0,1
2024-01-11,PEL-05,chargement,21.57,2019.9,383.1,1.277,0,1
2024-01-11,CAM-01,transport,22.1,1430.1,57.3,0.143,0,0
2024-01-11,CAM-02,transport,14.35,558.8,160.2,0.4,0,0
2024-01-11,CAM-03,transport,21.53,957.0,77.4,0.193,0,0
2024-01-11,CAM-04,transport,16.62,1585.2,313.6,0.784,0,0
2024-01-11,CAM-05,transport,17.64,2015.9,71.0,0.177,0,0
2024-01-11,CAM-06,transport,14.74,1214.1,89.5,0.224,0,0
2024-01-11,CAM-07,transport,17.79,2342.3,282.7,0.707,0,1
2024-01-11,CAM-08,transport,18.93,2010.8,412.5,1.031,0,0
2024-01-11,CAM-09,transport,15.29,2833.6,15.3,0.038,0,0
2024-01-11,CAM-10,transport,18.48,1188.4,162.5,0.406,0,0
2024-01-11,CAM-11,transport,20.3,722.2,358.8,0.897,0,0
2024-01-11,CAM-12,transport,17.65,2515.0,255.8,0.639,0,1
2024-01-11,GEN-01,energie,20.13,1807.1,257.6,0.515,0,0
2024-01-11,GEN-02,energie,21.29,2291.1,65.1,0.13,0,0
2024-01-11,GEN-03,energie,23.14,2023.5,156.5,0.313,0,0
2024-01-12,FOR-01,forage,24.0,2736.8,252.6,1.01,0,0
2024-01-12,FOR-02,forage,24.0,1008.4,89.6,0.358,0,0
2024-01-12,FOR-03,forage,0.0,3041.3,0.0,0.0,0,0
2024-01-12,FOR-04,forage,0.0,1502.3,0.0,0.0,1,0
2024-01-12,PEL-01,chargement,12.4,530.4,140.3,0.468,0,1
2024-01-12,PEL-02,chargement,19.86,1235.0,267.4,0.891,0,1
2024-01-12,PEL-03,chargement,19.2,754.7,317.4,1.058,0,1
2024-01-12,PEL-04,chargement,21.79,2711.2,280.2,0.934,0,1
2024-01-12,PEL-05,chargement,14.75,2034.7,397.9,1.326,0,1
2024-01-12,CAM-01,transport,16.05,1446.1,73.4,0.183,0,0
2024-01-12,CAM-02,transport,19.9,578.7,180.1,0.45,0,0
2024-01-12,CAM-03,transport,19.52,976.6,96.9,0.242,0,0
2024-01-12,CAM-04,transport,17.69,1602.9,331.3,0.828,0,0
2024-01-12,CAM-05,transport,19.36,2035.2,90.3,0.226,0,0
2024-01-12,CAM-06,transport,16.41,1230.5,106.0,0.265,0,0
2024-01-12,CAM-07,transport,15.37,2357.7,298.1,0.745,0,1
2024-01-12,CAM-08,transport,19.92,2030.8,432.5,1.081,0,0
2024-01-12,CAM-09,transport,18.76,2852.3,34.0,0.085,0,0
2024-01-12,CAM-10,transport,18.1,1206.5,180.6,0.452,0,0
2024-01-12,CAM-11,transport,14.07,736.2,372.9,0.932,0,0
2024-01-12,CAM-12,transport,0.0,2515.0,0.0,0.0,1,0
2024-01-12,GEN-01,energie,22.44,1829.6,280.1,0.56,0,0
2024-01-12,GEN-02,energie,23.8,2314.9,88.9,0.178,0,0
2024-01-12,GEN-03,energie,18.5,2042.0,175.0,0.35,0,0
2024-01-13,FOR-01,forage,0.0,2736.8,0.0,0.0,0,0
2024-01-13,FOR-02,forage,13.5,1021.9,103.1,0.412,0,0
2024-01-13,FOR-03,forage,17.36,3058.7,17.4,0.069,0,0
2024-01-13,FOR-04,forage,14.93,1517.2,14.9,0.06,0,0
2024-01-13,PEL-01,chargement,13.92,544.3,154.2,0.514,0,1
2024-01-13,PEL-02,chargement,23.08,1258.1,290.5,0.968,0,1
2024-01-13,PEL-03,chargement,19.29,773.9,336.7,1.122,0,1
2024-01-13,PEL-04,chargement,17.48,2728.6,297.7,0.992,0,1
2024-01-13,PEL-05,chargement,19.48,2054.2,417.4,1.391,0,1
2024-01-13,CAM-01,transport,18.87,1465.0,92.2,0.231,0,0
2024-01-13,CAM-02,transport,18.74,597.4,198.8,0.497,0,0
2024-01-13,CAM-03,transport,16.37,992.9,113.3,0.283,0,0
2024-01-13,CAM-04,transport,19.38,1622.2,350.6,0.877,0,0
2024-01-13,CAM-05,transport,16.94,2052.2,107.3,0.268,0,0
2024-01-13,CAM-06,transport,21.16,1251.7,127.1,0.318,0,0
2024-01-13,CAM-07,transport,20.54,2378.2,318.7,0.797,0,1
2024-01-13,CAM-08,transport,15.73,2046.5,448.2,1.12,0,0
2024-01-13,CAM-09,transport,17.28,2869.6,51.3,0.128,0,0
2024-01-13,CAM-10,transport,15.53,1222.1,196.2,0.49,0,0
2024-01-13,CAM-11,transport,16.57,752.8,389.5,0.974,0,0
2024-01-13,CAM-12,transport,15.21,2530.2,15.2,0.038,0,0
2024-01-13,GEN-01,energie,23.28,1852.8,303.3,0.607,0,0
2024-01-13,GEN-02,energie,21.35,2336.3,110.3,0.221,0,0
2024-01-13,GEN-03,energie,19.34,2061.4,194.3,0.389,0,0
2024-01-14,FOR-01,forage,20.18,2757.0,20.2,0.081,0,0
2024-01-14,FOR-02,forage,17.76,1039.7,120.8,0.483,0,0
2024-01-14,FOR-03,forage,14.45,3073.1,31.8,0.127,0,0
2024-01-14,FOR-04,forage,15.9,1533.1,30.8,0.123,0,0
2024-01-14,PEL-01,chargement,23.14,567.5,177.3,0.591,0,1
2024-01-14,PEL-02,chargement,18.16,1276.3,308.7,1.029,0,1
2024-01-14,PEL-03,chargement,15.5,789.4,352.2,1.174,0,1
2024-01-14,PEL-04,chargement,18.52,2747.2,316.2,1.054,0,1
2024-01-14,PEL-05,chargement,21.07,2075.3,438.4,1.461,0,1
2024-01-14,CAM-01,transport,16.37,1481.4,108.6,0.272,0,0
2024-01-14,CAM-02,transport,19.29,616.7,218.1,0.545,0,0
2024-01-14,CAM-03,transport,19.0,1011.9,132.3,0.331,0,0
2024-01-14,CAM-04,transport,18.34,1640.6,369.0,0.922,0,0
2024-01-14,CAM-05,transport,21.63,2073.8,128.9,0.322,0,0
2024-01-14,CAM-06,transport,14.74,1266.4,141.9,0.355,0,0
2024-01-14,CAM-07,transport,17.08,2395.3,335.7,0.839,0,1
2024-01-14,CAM-08,transport,19.69,2066.2,467.9,1.17,0,0
2024-01-14,CAM-09,transport,16.5,2886.1,67.8,0.17,0,0
2024-01-14,CAM-10,transport,15.49,1237.5,211.7,0.529,0,0
2024-01-14,CAM-11,transport,18.11,770.9,407.6,1.019,0,0
2024-01-14,CAM-12,transport,18.2,2548.4,33.4,0.084,0,0
2024-01-14,GEN-01,energie,22.99,1875.8,326.3,0.653,0,0
2024-01-14,GEN-02,energie,21.72,2358.0,132.0,0.264,0,0
2024-01-14,GEN-03,energie,19.69,2081.1,214.0,0.428,0,0
2024-01-15,FOR-01,forage,22.37,2779.4,42.5,0.17,0,0
2024-01-15,FOR-02,forage,21.24,1060.9,142.1,0.568,0,0
2024-01-15,FOR-03,forage,19.03,3092.2,50.8,0.203,0,0
2024-01-15,FOR-04,forage,19.0,1552.1,49.8,0.199,0,0
2024-01-15,PEL-01,chargement,20.67,588.2,198.0,0.66,0,1
2024-01-15,PEL-02,chargement,0.0,1276.3,0.0,0.0,1,0
2024-01-15,PEL-03,chargement,18.09,807.5,370.3,1.234,0,1
2024-01-15,PEL-04,chargement,0.0,2747.2,0.0,0.0,1,0
2024-01-15,PEL-05,chargement,0.0,2075.3,0.0,0.0,1,0
2024-01-15,CAM-01,transport,17.14,1498.5,125.8,0.314,0,0
2024-01-15,CAM-02,transport,17.89,634.6,236.0,0.59,0,0
2024-01-15,CAM-03,transport,11.58,1023.5,143.9,0.36,0,0
2024-01-15,CAM-04,transport,22.01,1662.6,391.0,0.977,0,0
2024-01-15,CAM-05,transport,16.91,2090.7,145.8,0.365,0,0
2024-01-15,CAM-06,transport,17.02,1283.4,158.9,0.397,0,0
2024-01-15,CAM-07,transport,0.0,2395.3,0.0,0.0,1,0
2024-01-15,CAM-08,transport,20.2,2086.4,488.1,1.22,0,0
2024-01-15,CAM-09,transport,18.62,2904.7,86.5,0.216,0,0
2024-01-15,CAM-10,transport,17.77,1255.3,229.4,0.574,0,0
2024-01-15,CAM-11,transport,20.84,791.7,428.4,1.071,0,0
2024-01-15,CAM-12,transport,17.15,2565.5,50.6,0.126,0,0
2024-01-15,GEN-01,energie,17.41,1893.2,343.7,0.687,0,0
2024-01-15,GEN-02,energie,22.19,2380.2,154.2,0.308,0,0
2024-01-15,GEN-03,energie,21.73,2102.8,235.7,0.471,0,0
2024-01-16,FOR-01,forage,12.43,2791.8,55.0,0.22,0,0
2024-01-16,FOR-02,forage,16.76,1077.7,158.8,0.635,0,0
2024-01-16,FOR-03,forage,20.32,3112.5,71.2,0.285,0,0
2024-01-16,FOR-04,forage,19.75,1571.9,69.6,0.278,0,0
2024-01-16,PEL-01,chargement,18.95,607.1,217.0,0.723,0,1
2024-01-16,PEL-02,chargement,18.72,1295.0,18.7,0.062,0,0
2024-01-16,PEL-03,chargement,18.31,825.8,388.6,1.295,0,1
2024-01-16,PEL-04,chargement,24.0,2771.2,24.0,0.08,0,0
2024-01-16,PEL-05,chargement,12.05,2087.3,12.0,0.04,0,0
2024-01-16,CAM-01,transport,20.9,1519.4,146.7,0.367,0,0
2024-01-16,CAM-02,transport,20.01,654.6,256.0,0.64,0,0
2024-01-16,CAM-03,transport,18.31,1041.8,162.2,0.405,0,0
2024-01-16,CAM-04,transport,21.1,1683.7,412.1,1.03,0,0
2024-01-16,CAM-05,transport,17.93,2108.6,163.7,0.409,0,0
2024-01-16,CAM-06,transport,12.19,1295.6,171.1,0.428,0,0
